zip,total,overall_total,percent_total
21020,35,20328513.18,1.7217196206181174e-6
21022,1252,20328513.18,6.158837042896809e-5
21023,978.6,20328513.18,4.8139280592482566e-5
21024,24.2,20328513.18,1.190446137684527e-6
21025,60,20328513.18,2.9515193496310584e-6
21027,100,20328513.18,4.919198916051764e-6
21028,5138.14,20328513.18,2.5275532718522213e-4
21029,52256.39,20328513.18,0.0025705957704477826
21030,88428.48,20328513.18,0.004349972829641051
21032,35314.24,20328513.18,0.0017371777112919185
21033,127.5,20328513.18,6.271978617966e-6
21034,2481.33,20328513.18,1.2206155846366723e-4
21035,43091.73,20328513.18,0.002119767915067953
21036,4457.42,20328513.18,2.1926935632387456e-4
21037,53078.12,20328513.18,0.0026110183037006546
21038,5,20328513.18,2.459599458025882e-7
21040,7597.5,20328513.18,3.7373613764703277e-4
21041,69.5,20328513.18,3.418843246655976e-6
21042,212014.27,20328513.18,0.01042940367171506
21043,110968.32,20328513.18,0.005458752394600854
21044,275218.94,20328513.18,0.013538567113249154
21045,159432.62,20328513.18,0.007842807714872928
21046,58188.4,20328513.18,0.0028624031420678648
21047,14208.02,20328513.18,6.989207658324179e-4
21048,10694.23,20328513.18,5.260704462400825e-4
21050,21222.82,20328513.18,0.001043992731395617
21051,787,20328513.18,3.8714095469327385e-5
21052,5,20328513.18,2.459599458025882e-7
21053,2589.16,20328513.18,1.2736593065484586e-4
21054,17548.78,20328513.18,8.632593955403087e-4
21055,1000,20328513.18,4.919198916051764e-5
21056,12752.5,20328513.18,6.273208417695012e-4
21057,18056.99,20328513.18,8.882592563515756e-4
21058,205,20328513.18,1.0084357777906116e-5
21060,52983.69,20328513.18,0.002606373104164227
21061,32546.4,20328513.18,0.0016010221560138714
21062,371,20328513.18,1.8250227978552045e-5
21069,24.5,20328513.18,1.2052037344326821e-6
21071,1953.5,20328513.18,9.60965508250712e-5
21073,75,20328513.18,3.6893991870388232e-6
21074,26773.02,20328513.18,0.0013170181096343221
21075,31803.44,20328513.18,0.0015644744757471732
21076,35991.71,20328513.18,0.0017705038081884943
21077,645,20328513.18,3.172883300853388e-5
21078,52199.86,20328513.18,0.0025678149473005387
21082,730.92,20328513.18,3.595540871720555e-5
21083,45,20328513.18,2.213639512223294e-6
21084,5903.96,20328513.18,2.9042753632412975e-4
21085,10388.52,20328513.18,5.110319632338207e-4
21087,2872.35,20328513.18,1.4129661006521285e-4
21090,8394.64,20328513.18,4.129490398864478e-4
21093,100859.02,20328513.18,0.004961455818580433
21094,2111,20328513.18,1.0384428911785274e-4
21101,228.8,20328513.18,1.1255127119926437e-5
21102,6690.81,20328513.18,3.291342529950831e-4
21104,18593.88,20328513.18,9.146699434119659e-4
21105,70,20328513.18,3.443439241236235e-6
21106,250,20328513.18,1.229799729012941e-5
21108,39812.55,20328513.18,0.0019584585280525667
21111,22119.91,20328513.18,0.0010881223729516257
21112,37.5,20328513.18,1.8446995935194116e-6
21113,70935.15,20328513.18,0.003489441129899693
21114,42239.22,20328513.18,0.00207783125238872
21117,93614.29,20328513.18,0.0046050731389495544
21118,5,20328513.18,2.459599458025882e-7
21120,19602.23,20328513.18,9.642726856819737e-4
21122,33814.73,20328513.18,0.0016634138316258308
21123,281,20328513.18,1.3822948954105458e-5
21127,61,20328513.18,3.000711338791576e-6
21128,7233.1,20328513.18,3.5581057679694015e-4
